held_out,train_dataset,family,acc.true,acc.pred,f1.true,f1.pred,auroc.true,auroc.pred,brier.true,brier.pred,meanconf.true,meanconf.pred,nll.true,nll.pred
imdb,imdb,sentiment,0.8834999799728394,0.8857489824295044,0.8788210153579712,0.8797153234481812,0.9694022536277771,0.9748564958572388,0.08675779402256012,0.09126650542020798,0.9076613783836365,0.8966092467308044,0.29469314217567444,0.3363266587257385
imdb,imdb,sentiment,0.8865000009536743,0.8696087002754211,0.8822723627090454,0.8679375648498535,0.9662057757377625,0.9734879732131958,0.08090212196111679,0.10312910377979279,0.8773670792579651,0.8730893731117249,0.2656674385070801,0.3617745339870453
imdb,imdb,sentiment,0.9010000228881836,0.8623415231704712,0.8979818820953369,0.857944905757904,0.9700661897659302,0.9660035967826843,0.0738692507147789,0.11296021193265915,0.8855814933776855,0.8747248649597168,0.24780689179897308,0.36859849095344543
imdb,imdb,sentiment,0.9160000085830688,0.8576087951660156,0.9151343107223511,0.8471709489822388,0.9716307520866394,0.9649667143821716,0.06314320117235184,0.11364582926034927,0.8976556658744812,0.8677741885185242,0.21852311491966248,0.37805768847465515
imdb,imdb,sentiment,0.8379999995231628,0.8797377943992615,0.8257642984390259,0.870795726776123,0.9668985605239868,0.966156005859375,0.12817934155464172,0.09603738784790039,0.9325101971626282,0.9062755703926086,0.4583556056022644,0.32098332047462463
imdb,imdb,sentiment,0.9100000262260437,0.8921648859977722,0.9081211686134338,0.8909988403320312,0.9739682078361511,0.9768776893615723,0.06453348696231842,0.08603247255086899,0.9224828481674194,0.9099900722503662,0.21373866498470306,0.3200935125350952
imdb,imdb,sentiment,0.8824999928474426,0.8665698170661926,0.8777808547019958,0.8519508838653564,0.9701021909713745,0.9668685793876648,0.08413667976856232,0.10257085412740707,0.9248272776603699,0.9125118255615234,0.2695818841457367,0.36276042461395264
imdb,imdb,sentiment,0.8989999890327454,0.8835525512695312,0.8961379528045654,0.8792346119880676,0.9664338231086731,0.977544903755188,0.07359804958105087,0.09064966440200806,0.8976802229881287,0.9048978686332703,0.2462913542985916,0.34047648310661316
imdb,imdb,sentiment,0.8479999899864197,0.8659271597862244,0.8376928567886353,0.8592655062675476,0.9664875268936157,0.9709674119949341,0.11063370108604431,0.0989004522562027,0.9246575236320496,0.8904377222061157,0.3572075664997101,0.3371953070163727
imdb,imdb,sentiment,0.9004999995231628,0.8848400712013245,0.8992924690246582,0.8751832842826843,0.9680100679397583,0.9703139662742615,0.07412528246641159,0.08838127553462982,0.9457765221595764,0.9305504560470581,0.2600368857383728,0.30582883954048157
