adapter_idx,pool,source,label,label_noise,shards_total,epochs,accuracy,f1_macro,nll,brier,auroc,mean_confidence,adapter_qname,error
1139,train,new,train-sst2-i1139,0.0,64,3,0.9315,0.930294637444347,0.21463060677461213,0.05576362083437303,0.9778793444590409,0.966870523942014,glad/sft-model-450d42ca:v0,
1140,train,new,train-sst2-i1140,0.0,64,3,0.921,0.9199782016569578,0.2342329213331894,0.06460559999830502,0.9711984462933229,0.958276053952487,glad/sft-model-46031aec:v0,
1141,train,new,train-sst2-i1141,0.0,64,3,0.923,0.9217777777777778,0.2200791395968372,0.06046202446980288,0.9753199046367929,0.9579722870083194,glad/sft-model-d70de190:v0,
1142,train,new,train-sst2-i1142,0.0,64,3,0.923,0.9215271429459526,0.20566243828912628,0.05812744697315081,0.9743756994112782,0.9393732811217101,glad/sft-model-91c47a33:v0,
1143,train,new,train-sst2-i1143,0.0,64,3,0.9345,0.9335021161301784,0.22592210185849096,0.055392717772810664,0.9752028292706661,0.973615011181924,glad/sft-model-7adbf101:v0,
1144,train,new,train-sst2-i1144,0.3,64,2,0.5885,0.43151185726043284,0.6088773689796453,0.21184141563425352,0.9029769579461232,0.6655486668653434,glad/sft-model-c3cddb3e:v0,
1145,train,new,train-sst2-i1145,0.3,64,2,0.86,0.8584692028985508,0.5432494766351945,0.1773771190501394,0.933530080766798,0.5985636950345641,glad/sft-model-2741b01f:v0,
1146,train,new,train-sst2-i1146,0.3,64,2,0.8695,0.8625085240764168,0.4356757951546104,0.1317203579980834,0.9698285124637117,0.6830962201877635,glad/sft-model-d3624cc8:v0,
1147,train,new,train-sst2-i1147,0.3,64,2,0.912,0.910390980444868,0.42516640749057805,0.12463693242810503,0.9732257253604503,0.6748477870182105,glad/sft-model-6c7e4c7c:v0,
1148,train,new,train-sst2-i1148,0.3,64,2,0.8285,0.828441284029459,0.45635795805690604,0.1435872140086848,0.9242350062440196,0.6960163981340325,glad/sft-model-4d5dd82d:v0,
1149,train,new,train-sst2-i1149,0.3,64,2,0.76,0.7573245026416239,0.4734065492585494,0.15471517812408575,0.9467986222611461,0.7237586418849525,glad/sft-model-8819bfea:v0,
1150,train,new,train-sst2-i1150,0.3,64,2,0.761,0.7461325039620326,0.6641566398880981,0.23553143667923926,0.8574174086508053,0.521336016971014,glad/sft-model-afc7ceeb:v0,
1151,train,new,train-sst2-i1151,0.3,64,2,0.7925,0.7727944016540568,0.49813830488024313,0.159970052577262,0.9350257058985711,0.6577334593701676,glad/sft-model-1449928b:v0,
1152,train,new,train-sst2-i1152,0.3,64,2,0.8785,0.8770526328571526,0.3746752927253777,0.10986945415607349,0.9476455180914384,0.7418809605740122,glad/sft-model-7862e625:v0,
1153,train,new,train-sst2-i1153,0.3,64,2,0.696,0.6866208762039068,0.5525344902632195,0.18752982927765682,0.9224271801359087,0.6757847531686042,glad/sft-model-2dcec2bd:v0,
1154,train,new,train-sst2-i1154,0.3,64,2,0.904,0.9033178104706812,0.363734799766597,0.10341482964964795,0.9617026711428988,0.7400507828571786,glad/sft-model-92e8579d:v0,
1155,train,new,train-sst2-i1155,0.3,64,2,0.753,0.7495122079839688,0.4954230033348478,0.16203045734794727,0.9626884355892895,0.6805038383165343,glad/sft-model-e5cd7fcc:v0,
1156,train,new,train-sst2-i1156,0.3,64,2,0.453,0.328207074335668,0.6770637895729896,0.24417851482278058,0.9013693256458911,0.6415938159501418,glad/sft-model-3a82d5bb:v0,
1157,train,new,train-sst2-i1157,0.3,64,2,0.903,0.901144582672174,0.40278836365227483,0.11813937818891872,0.9657161768760439,0.6992642797505493,glad/sft-model-0d2aff1a:v0,
1158,train,new,train-sst2-i1158,0.3,64,2,0.8845,0.8827110800710132,0.37130087739416984,0.10873951549820096,0.9498952910361829,0.7407138318145382,glad/sft-model-7380f7db:v0,
1159,train,new,train-sst2-i1159,0.3,64,2,0.462,0.34677027683341427,0.679988171126224,0.24386677199231876,0.8053933732301853,0.577594366720604,glad/sft-model-d835212c:v0,
1160,train,new,train-sst2-i1160,0.3,64,2,0.897,0.8960419223564369,0.49580624431573905,0.15570065851679085,0.9628293314844549,0.6261802441624511,glad/sft-model-724c911f:v0,
1161,train,new,train-sst2-i1161,0.3,64,2,0.8915,0.8912001203316642,0.43988880531925434,0.13220379658626097,0.9716763773333982,0.6695712639537057,glad/sft-model-576d76bf:v0,
1162,train,new,train-sst2-i1162,0.35,32,2,0.721,0.714401533018868,0.5162277780137199,0.17282283479768204,0.9489115538688595,0.6990643271393661,glad/sft-model-bb65a1b5:v0,
1163,train,new,train-sst2-i1163,0.35,32,2,0.853,0.8450137115420503,0.4925642515978928,0.15493566151449356,0.9559801691561653,0.6410513027951056,glad/sft-model-cc3e1138:v0,
1164,train,new,train-sst2-i1164,0.35,32,2,0.73,0.727047748447205,0.6554666600576304,0.23126539199238375,0.8804655443649752,0.5305968209945896,glad/sft-model-408b9f90:v0,
1165,train,new,train-sst2-i1165,0.35,32,2,0.908,0.9066099829867751,0.4064410127165424,0.11868865367014134,0.9695776366791548,0.693481353489086,glad/sft-model-bcb8bca1:v0,
1166,train,new,train-sst2-i1166,0.35,32,2,0.8765,0.872891092109959,0.5200015371136445,0.16634010781166353,0.9560105783421724,0.6124397841177243,glad/sft-model-d57abefc:v0,
1167,train,new,train-sst2-i1167,0.35,32,2,0.876,0.8742188126053037,0.42228692387906613,0.1262678216391361,0.9432453088762387,0.6975628881686263,glad/sft-model-ccc7982e:v0,
1168,train,new,train-sst2-i1168,0.35,32,2,0.578,0.4191096409904869,0.6647142431218466,0.2359247478707104,0.7758478081058726,0.5536508915375996,glad/sft-model-e1d030d7:v0,
1169,train,new,train-sst2-i1169,0.35,32,2,0.558,0.3581514762516046,0.6822714655160603,0.24464330948895177,0.645097431031966,0.5931779965281296,glad/sft-model-da1cc563:v0,
1170,train,new,train-sst2-i1170,0.35,32,2,0.711,0.6562793247851151,0.5459394896816282,0.18074932459153795,0.9629763092168215,0.6227900860206901,glad/sft-model-db546dd2:v0,
1171,train,new,train-sst2-i1171,0.35,32,2,0.783,0.7816022544283414,0.5595558673617418,0.18610251034060016,0.944882336722944,0.6042561740638922,glad/sft-model-4100ef82:v0,
1172,train,new,train-sst2-i1172,0.35,32,2,0.528,0.46548045606294647,0.6525972802865391,0.23137470902233756,0.828595582153457,0.5999619038281667,glad/sft-model-2b07f244:v0,
1173,train,new,train-sst2-i1173,0.35,32,2,0.8615,0.8614816809523059,0.500934657683714,0.1586523024742115,0.9637188001751569,0.6317681682327482,glad/sft-model-751d705e:v0,
1174,train,new,train-sst2-i1174,0.35,32,2,0.843,0.8341500825552296,0.4844185048126443,0.1515950943623154,0.9523391759516049,0.6509272710772158,glad/sft-model-467c5603:v0,
1175,train,new,train-sst2-i1175,0.35,32,2,0.794,0.7739235027370621,0.6071260075702992,0.20748757884880228,0.9397305137936067,0.5603768024704814,glad/sft-model-483bbe42:v0,
1176,train,new,train-sst2-i1176,0.35,32,2,0.8085,0.7949006298906895,0.5195318613676289,0.1683194018203662,0.9186442773966492,0.6356707995662252,glad/sft-model-c60e2d86:v0,
1177,train,new,train-sst2-i1177,0.35,32,2,0.8235,0.8234519347892464,0.5696032825090167,0.18983407258181065,0.93333292787752,0.5860672931502897,glad/sft-model-05cca056:v0,
1178,train,new,train-sst2-i1178,0.35,32,2,0.858,0.8575532871083718,0.5066289958349025,0.1630260340243292,0.9411232545127232,0.6339705666797631,glad/sft-model-9df47bd6:v0,
1179,train,new,train-sst2-i1179,0.35,32,2,0.773,0.771062271062271,0.5586212728797757,0.18556881606896897,0.9454788635884461,0.6079605987187952,glad/sft-model-50877d7a:v0,
1180,train,new,train-sst2-i1180,0.3,32,3,0.781,0.7790055248618785,0.4923170100313342,0.15826793154943783,0.9555133881509592,0.6835696728315522,glad/sft-model-d8debff4:v0,
1181,train,new,train-sst2-i1181,0.3,32,3,0.9135,0.9129636603157809,0.4115620517406587,0.12050355745444859,0.9667374187061094,0.6906902238374344,glad/sft-model-58ce363c:v0,
1182,train,new,train-sst2-i1182,0.3,32,3,0.878,0.8772912341685576,0.4048506722971296,0.12007787938306615,0.9509560648080573,0.7094642058569096,glad/sft-model-ac661a15:v0,
1183,train,new,train-sst2-i1183,0.3,32,3,0.914,0.9128270001135277,0.39255259418681204,0.11205960758228341,0.971279537456008,0.7025621951156259,glad/sft-model-af6564cf:v0,
1184,train,new,train-sst2-i1184,0.3,32,3,0.91,0.9078426895189491,0.3486224860540219,0.09683443395957324,0.9732454913313547,0.7441122584078473,glad/sft-model-97340f0b:v0,
1185,train,new,train-sst2-i1185,0.3,32,3,0.864,0.8639341441257569,0.4227282017931228,0.12923825020702048,0.9504370813668727,0.7183157342808945,glad/sft-model-658467a6:v0,
1186,train,new,train-sst2-i1186,0.3,32,3,0.8525,0.8442235587312827,0.39008486665259556,0.11553444434061397,0.9593986684831087,0.7411879437619892,glad/sft-model-2e178cd1:v0,
1187,train,new,train-sst2-i1187,0.3,32,3,0.831,0.8226487048633083,0.46490022782612905,0.14608264435357332,0.92306323894322,0.6831573944861628,glad/sft-model-800cc032:v0,
1188,train,new,train-sst2-i1188,0.3,32,3,0.884,0.879511940262851,0.42326469067625677,0.12513296014399966,0.9685584221281566,0.6859452783744234,glad/sft-model-18a7e4b7:v0,
1189,train,new,train-sst2-i1189,0.3,32,3,0.883,0.8791716753621752,0.4466384416128141,0.1354475094478395,0.96012291392984,0.6685976215815169,glad/sft-model-e66f60c1:v0,
1190,train,new,train-sst2-i1190,0.3,32,3,0.885,0.8836681162630962,0.4263376973171763,0.12701639375400264,0.9483829408521058,0.6913671274565338,glad/sft-model-c8c38c09:v0,
1191,train,new,train-sst2-i1191,0.3,32,3,0.8745,0.8743589993870622,0.4631064289932172,0.14215659539176215,0.96002053633695,0.6584969937769121,glad/sft-model-efea67b5:v0,
1192,train,new,train-sst2-i1192,0.3,32,3,0.871,0.866273573170125,0.4431832584427127,0.13359094662174772,0.9514010525632917,0.6796914160736621,glad/sft-model-7c7f2c4c:v0,
1193,train,new,train-sst2-i1193,0.3,32,3,0.8775,0.8767788791957735,0.38864646552503024,0.11235552802209597,0.9574970807181433,0.726408417675206,glad/sft-model-ebbcedca:v0,
1194,train,new,train-sst2-i1194,0.3,32,3,0.91,0.9091451466851607,0.33962121525772876,0.09394578385808439,0.9658535250328419,0.7586008211355104,glad/sft-model-ff975b96:v0,
1195,train,new,train-sst2-i1195,0.3,32,3,0.9125,0.9115525285742192,0.3750365434737758,0.1045515332345182,0.9645205890462057,0.7252801752282644,glad/sft-model-c5a14671:v0,
1196,train,new,train-sst2-i1196,0.3,32,3,0.8965,0.8937981996486106,0.3937864203570479,0.11439151117072005,0.9588431940187159,0.7165467089409383,glad/sft-model-5439158e:v0,
1197,train,new,train-sst2-i1197,0.3,32,3,0.8935,0.8906114588348579,0.38527390254850946,0.11258510569069852,0.9565290549635901,0.7290845534704066,glad/sft-model-be3a8f3f:v0,
1198,train,new,train-sst2-i1198,0.0,32,1,0.9165,0.9146429506960816,0.23392762280816026,0.06620235011932454,0.9699982970855836,0.9382132843705779,glad/sft-model-0193a095:v0,
1199,train,new,train-sst2-i1199,0.0,32,1,0.918,0.9172845944574626,0.23828208004542503,0.0658970974647255,0.9708629316077133,0.9523487887204699,glad/sft-model-cfd0a2e0:v0,
1200,train,new,train-sst2-i1200,0.0,32,1,0.9125,0.911030920313954,0.24202747058385068,0.06827305694822168,0.968470742308503,0.940425710239363,glad/sft-model-0f7eec30:v0,
1201,train,new,train-sst2-i1201,0.0,32,1,0.908,0.9074512786310032,0.2424462453923104,0.07028492322544255,0.9685234515642485,0.9303158865201194,glad/sft-model-db5ea1bf:v0,
1202,train,new,train-sst2-i1202,0.0,32,1,0.909,0.9078229917820653,0.23650619995985744,0.06809541661471795,0.9646189120809614,0.9172574860889865,glad/sft-model-273c02f8:v0,
1203,train,new,train-sst2-i1203,0.0,32,1,0.917,0.9156825396825397,0.2521086298133396,0.06695993652952256,0.9694098793363498,0.9662160373209873,glad/sft-model-5364d935:v0,
1204,train,new,train-sst2-i1204,0.0,32,1,0.9115,0.9107691772540046,0.23046374986770002,0.06704977426243643,0.9691453194180897,0.9354870853138585,glad/sft-model-aa603c5f:v0,
1205,train,new,train-sst2-i1205,0.0,32,1,0.919,0.9181143245341614,0.2156728710942371,0.06259192137766197,0.9736874381679884,0.9399613085399657,glad/sft-model-8201b7ef:v0,
1206,train,new,train-sst2-i1206,0.0,32,1,0.873,0.8679799371085527,0.3141733146122972,0.09366107956317803,0.9618572511717673,0.8106607551570753,glad/sft-model-e2286993:v0,
1207,train,new,train-sst2-i1207,0.0,32,1,0.9065,0.9048291568855723,0.33568715855822473,0.07929137067468688,0.9625145964092834,0.9687094524277771,glad/sft-model-ab6b8a9f:v0,
1208,train,new,train-sst2-i1208,0.0,32,1,0.921,0.9194888869185747,0.21152062922039752,0.05990653381419125,0.9735146126275157,0.9241655928592325,glad/sft-model-83407b33:v0,
1209,train,new,train-sst2-i1209,0.0,32,1,0.922,0.9200544449728595,0.21282275624663877,0.06207828772667918,0.9763512828621937,0.9347706348764562,glad/sft-model-bf49cb5a:v0,
1210,train,new,train-sst2-i1210,0.0,32,1,0.9145,0.9138403401039206,0.22157254683785146,0.06502098064170364,0.9721325151235019,0.9199363569690759,glad/sft-model-6630658e:v0,
1211,train,new,train-sst2-i1211,0.0,32,1,0.916,0.9153444272445821,0.24689395909420056,0.06757700610703182,0.9687160430756256,0.9551303776995068,glad/sft-model-417bf2aa:v0,
1212,train,new,train-sst2-i1212,0.0,32,1,0.913,0.9118948084775422,0.23428516195055704,0.0670149194626673,0.965556021829741,0.9247271646544338,glad/sft-model-f225d3d5:v0,
1213,train,new,train-sst2-i1213,0.0,32,1,0.9075,0.906769797748415,0.23527028722888457,0.06932699684616071,0.9678133970709871,0.9230104860087105,glad/sft-model-0dcd5791:v0,
1214,train,new,train-sst2-i1214,0.0,32,1,0.9245,0.9236006072486833,0.20740966531022867,0.05930951185878623,0.9741303986441557,0.9274828471307258,glad/sft-model-88ad3aca:v0,
1215,train,new,train-sst2-i1215,0.0,32,1,0.918,0.9175726968605249,0.20584422528153992,0.06040481072712784,0.9786588332603512,0.9289348770604677,glad/sft-model-954bcfb1:v0,
1216,train,new,train-sst2-i1216,0.0,32,2,0.9315,0.930524406344998,0.21797432026649022,0.0551134821332472,0.9775255842618273,0.9476949673576248,glad/sft-model-f5260e07:v0,
1217,train,new,train-sst2-i1217,0.0,32,2,0.924,0.923433715761774,0.21562978658518725,0.0600993894285315,0.9790653027133104,0.9602879685187053,glad/sft-model-53a959c7:v0,
1218,train,new,train-sst2-i1218,0.0,32,2,0.924,0.9233653887845247,0.21010225418073458,0.05984208976519656,0.9774591908723786,0.9568877392379841,glad/sft-model-64277586:v0,
1219,train,new,train-sst2-i1219,0.0,32,2,0.929,0.9279450433801284,0.19922558028180543,0.05546554609994845,0.9793531763408424,0.9605282795520037,glad/sft-model-862098e5:v0,
1220,train,new,train-sst2-i1220,0.0,32,2,0.923,0.9216763299766046,0.21587044655899765,0.060426709875471316,0.9736661517377836,0.9422459009879092,glad/sft-model-3546e2de:v0,
1221,train,new,train-sst2-i1221,0.0,32,2,0.915,0.912989714360587,0.25071988059288575,0.06796805851488226,0.9742621717835189,0.9497660252776862,glad/sft-model-d81229f2:v0,
1222,train,new,train-sst2-i1222,0.0,32,2,0.9205,0.9191010755740961,0.22663969263058648,0.06102094164847541,0.9747198300329232,0.9558486718902436,glad/sft-model-c4258c17:v0,
1223,train,new,train-sst2-i1223,0.0,32,2,0.9065,0.906221454274559,0.2943581414993139,0.0763158656318314,0.9754846210609966,0.9698260155304501,glad/sft-model-8ce14af7:v0,
1224,train,new,train-sst2-i1224,0.0,32,2,0.929,0.9275598167161334,0.2124789357726558,0.05764427261439461,0.9749342147942717,0.9503685627220276,glad/sft-model-098016bd:v0,
1225,train,new,train-sst2-i1225,0.0,32,2,0.9265,0.9256080215807587,0.22950203495366675,0.05945484502946137,0.9704924463581959,0.9530985661107683,glad/sft-model-76987780:v0,
1226,train,new,train-sst2-i1226,0.0,32,2,0.9195,0.9187746372038901,0.21060036648057934,0.06029149046671777,0.975054331078999,0.929663357566351,glad/sft-model-ff4b9208:v0,
1227,train,new,train-sst2-i1227,0.0,32,2,0.916,0.9151168759776718,0.2182710060350143,0.06375062453943037,0.9710970823399666,0.9283680815593659,glad/sft-model-839a9fae:v0,
1228,train,new,train-sst2-i1228,0.0,32,2,0.9345,0.9335671330744142,0.18568213605691755,0.051812371617684067,0.9794099401547219,0.9477384167231149,glad/sft-model-0b53dfb9:v0,
1229,train,new,train-sst2-i1229,0.0,32,2,0.933,0.9323094890982917,0.25147703646518244,0.05879564973643525,0.9776730688139608,0.9777367646814514,glad/sft-model-89f3ab42:v0,
1230,train,new,train-sst2-i1230,0.0,32,2,0.9365,0.9357575987505612,0.18174752645682118,0.05020144710778326,0.9810449407223601,0.950060167524048,glad/sft-model-01ea267a:v0,
1231,train,new,train-sst2-i1231,0.0,32,2,0.9245,0.9229574344927729,0.19944790121277906,0.05836110988464972,0.9791489279748291,0.9473525416505938,glad/sft-model-00c452a1:v0,
1232,train,new,train-sst2-i1232,0.0,32,2,0.921,0.9192793588124462,0.24421563840240135,0.06528239744263854,0.9720590262573184,0.961316148793403,glad/sft-model-b34dd38e:v0,
